token,freq
న,3050
ల,2342
ర,2125
య,2104
త,2077
ప,1995
క,1991
వ,1671
స,1632
ద,1573
గ,1108
చ,922
ట,876
మ,735
జ,471
డ,438
శ,415
ష,349
ధ,346
మర,339
