token,freq
क,8936
र,5476
ह,5350
म,5133
न,4695
द,4198
स,4155
ल,3746
त,3515
य,2726
ज,2406
व,2067
ब,2035
प,1990
ग,1954
ट,1472
श,1152
ख,977
पर,969
च,964
