token,freq
捂脸,74
飙泪笑,21
哈哈哈,18
哈哈,15
思考,15
user,13
调皮,12
大哭,11
惊喜,11
是啊,10
_,10
ω,9
赞同,7
流泪,7
黑人问号,7
哈哈哈哈哈,6
额,6
我也是,6
是的,6
๑,6
