token,freq
र,2870
क,2382
न,2338
ल,1702
त,1505
म,1379
स,1245
प,1160
द,1153
य,1110
छ,871
व,847
ह,823
ग,562
गर,521
ट,502
ब,489
ज,428
ई,399
थ,381
