token,freq
ର,1873
ବ,1706
କ,1563
ତ,1491
ନ,1257
ପ,893
ସ,813
ଲ,790
ଦ,783
ମ,709
ହ,593
କର,550
ଜ,479
ଗ,429
ୟ,393
ଯ,390
ଧ,316
ଥ,308
ଶ,305
user,296
