doc_id,filename,topic_label,LDA_topic_0,LDA_topic_1,LDA_topic_2
1,animals_1.txt,animals,0.9948710101728114,0.0025900576382862947,0.0025389321889021845
2,animals_2.txt,animals,0.0016225536516283866,0.9969192748423712,0.0014581715060004465
3,animals_3.txt,animals,0.9962719631103601,0.0018911756111020272,0.001836861278537761
4,animals_4.txt,animals,0.9967937578237989,0.0016338542763190723,0.0015723878998821252
5,animals_5.txt,animals,0.004052843370156664,0.9927852290130138,0.003161927616829532
6,music_1.txt,music,0.0010678346537822464,0.0010933259914351664,0.9978388393547826
7,music_2.txt,music,0.0015155016951937466,0.001674346884178003,0.9968101514206282
8,music_3.txt,music,0.0016392171581981318,0.9966393461863419,0.0017214366554599715
9,music_4.txt,music,0.001698075296092546,0.9965459729386974,0.0017559517652101487
10,music_5.txt,music,0.0012303576486864536,0.9975120161944256,0.0012576261568878874
11,technology_1.txt,technology,0.0018560001217433205,0.0018298526615658374,0.9963141472166909
12,technology_2.txt,technology,0.003831113375374262,0.0037500701236792373,0.9924188165009465
13,technology_3.txt,technology,0.0027075293767676333,0.002615111817546429,0.994677358805686
14,technology_4.txt,technology,0.9924573171931749,0.00369799245454166,0.0038446903522833305
15,technology_5.txt,technology,0.9944196149326204,0.0027131051813299397,0.002867279886049626
