topic,rank,term
0,1,reptile
0,2,mammal
0,3,amphibian
0,4,group
0,5,system
0,6,modern
0,7,including
0,8,living
0,9,bird
0,10,internet
1,1,music
1,2,rock
1,3,bird
1,4,electronic
1,5,genre
1,6,fish
1,7,hop
1,8,hip
1,9,popular
1,10,specie
2,1,music
2,2,jazz
2,3,network
2,4,ai
2,5,musical
2,6,learning
2,7,computer
2,8,application
2,9,host
2,10,century
