doc_id,filename,topic_label,NMF_BOW_topic_0,NMF_BOW_topic_1,NMF_BOW_topic_2
1,animals_1.txt,animals,0.0,0.9873896019704936,0.006226262211557115
2,animals_2.txt,animals,0.0,1.7360191014951605,0.005868295921065276
3,animals_3.txt,animals,0.0,1.549041343206451,0.0
4,animals_4.txt,animals,0.003974779297723291,1.6207239337242947,0.014561280321036072
5,animals_5.txt,animals,0.0,0.7254362870519035,0.0
6,music_1.txt,music,0.0,0.0,2.6668493460658795
7,music_2.txt,music,1.3084167224368237,0.0,0.18852569456091064
8,music_3.txt,music,1.3176250033630124,0.03607539182062209,0.07772219785499183
9,music_4.txt,music,1.049559124917796,0.0239952656261631,0.06915373806116099
10,music_5.txt,music,1.9041819711434456,0.0,0.0
11,technology_1.txt,technology,0.1140431301034921,0.37922947659374107,0.1427543668810226
12,technology_2.txt,technology,0.08388716634200344,0.2506012949882837,0.0
13,technology_3.txt,technology,0.27881686769330305,0.2370827393393105,0.0
14,technology_4.txt,technology,0.1862782080261031,0.12921640939692458,0.06395274287672341
15,technology_5.txt,technology,0.20302058791681632,0.22729268826164922,0.0
