doc_id,filename,topic,LSA_TFIDF_comp_0,LSA_TFIDF_comp_1,LSA_TFIDF_comp_2,LSA_TFIDF_argmax
1,animals_1.txt,animals,0.4260595123933563,-0.40588604758274766,-0.13107626310643372,0
2,animals_2.txt,animals,0.43038314809910183,-0.3688456760152036,-0.09174042152030479,0
3,animals_3.txt,animals,0.4916048361100151,-0.48711491697629367,-0.08540986940034298,0
4,animals_4.txt,animals,0.4596651004225292,-0.4067582524777127,-0.13900601910433757,0
5,animals_5.txt,animals,0.2839114649853508,-0.27919572304457757,-0.06824551583762026,0
6,music_1.txt,music,0.43008048310982433,0.44479931678489887,-0.1842157622161831,1
7,music_2.txt,music,0.38048160549518156,0.4016179632904066,-0.22189525115013892,1
8,music_3.txt,music,0.3751653962329905,0.4032554701089171,-0.21681843475236398,1
9,music_4.txt,music,0.31499361939368153,0.31580605879838214,-0.14863409031151828,1
10,music_5.txt,music,0.42233125381773967,0.4472746108740485,-0.06370946290211352,1
11,technology_1.txt,technology,0.1637840117272249,0.011099585466091334,0.31850942821427664,2
12,technology_2.txt,technology,0.19650076926279172,-0.010719105333234922,0.42840168832572817,2
13,technology_3.txt,technology,0.230868690031892,0.07977595237517258,0.5574212960608914,2
14,technology_4.txt,technology,0.2297588040820325,0.09182309814806836,0.5521786476695867,2
15,technology_5.txt,technology,0.24417844050544052,0.05892131536868902,0.6036786387251323,2
