component,rank,term,weight
0,1,music,0.3184631601632121
0,2,bird,0.22956171350544138
0,3,reptile,0.223804334392758
0,4,rock,0.1669234575423253
0,5,mammal,0.14652705186353696
0,6,jazz,0.14650770148355743
0,7,specie,0.14064586387426084
0,8,electronic,0.13130420526477132
0,9,fish,0.13055111649268913
0,10,amphibian,0.12471293820317642
0,11,living,0.11906018709286859
0,12,genre,0.11800370003120163
0,13,group,0.10792988725000735
0,14,network,0.09760936974935064
0,15,musical,0.09551014723981259
1,1,music,0.38702384485894664
1,2,rock,0.20761317790323405
1,3,jazz,0.1787746053763197
1,4,electronic,0.15486513039131944
1,5,genre,0.14266778565401073
1,6,musical,0.11595978706132352
1,7,style,0.10596613717093666
1,8,hip,0.09630087100512101
1,9,hop,0.09630087100512101
1,10,blue,0.08562533845196676
1,11,popular,0.07224755598339842
1,12,instrument,0.06637956725038936
1,13,sound,0.06590441455510537
1,14,new,0.06382044250402055
1,15,century,0.0635104755144303
2,1,network,0.2977193684850857
2,2,computer,0.2192206482353176
2,3,internet,0.19368069005546493
2,4,application,0.1936062629535306
2,5,host,0.190251636664575
2,6,learning,0.1742679010305641
2,7,security,0.17373680466172978
2,8,system,0.1607123717513881
2,9,field,0.1590690011006247
2,10,connected,0.1435718088738423
2,11,ai,0.14283220358206675
2,12,information,0.14133911628709503
2,13,iot,0.1390005553400712
2,14,data,0.12447418283559465
2,15,technology,0.12147359520001869
