model,K,c_v,c_npmi,u_mass,topic_div@10,perplexity
LSA (SVD TF-IDF),3,0.46146994267835106,-0.1487608571719087,-8.288788911275931,0.8666666666666667,
NMF (TF-IDF),3,0.5846687133880735,0.017448996757788465,-3.482685782692331,1.0,
LDA (BoW),3,0.46621541331865757,-0.2663709497065374,-9.835328421397723,0.9333333333333333,1156.5850233908543
