doc_id,filename,topic,LSA_BOW_comp_0,LSA_BOW_comp_1,LSA_BOW_comp_2,LSA_BOW_argmax
1,animals_1.txt,animals,1.5194994577288992,6.9517572109578705,-0.6400559412019692,1
2,animals_2.txt,animals,3.0612368350861745,21.122791446892926,-1.5428236851880484,1
3,animals_3.txt,animals,2.003010981944125,15.827121319924327,-1.958563115147801,1
4,animals_4.txt,animals,2.5555512461317695,10.746273914463028,-0.9752266168296039,1
5,animals_5.txt,animals,0.9062695047167119,5.518973689139608,-0.49948754408706614,1
6,music_1.txt,music,20.540285216347993,-1.6718061585377686,-2.455588673510124,0
7,music_2.txt,music,13.73052634392353,0.35415878014859076,7.814671844333218,0
8,music_3.txt,music,18.924431460055775,0.12054254256677556,19.8227630171941,2
9,music_4.txt,music,9.20473653985314,0.7355066855047825,3.6257594842823786,0
10,music_5.txt,music,26.45153113894413,-4.859068774941345,-16.707537301784935,0
11,technology_1.txt,technology,1.275308600728802,2.1496946976451308,-1.143317987384103,1
12,technology_2.txt,technology,0.6796677216487574,1.418288771562651,-0.989480353316779,1
13,technology_3.txt,technology,1.8588360705431015,1.6877599483674635,-2.678470971672039,0
14,technology_4.txt,technology,1.2249020350324449,0.8577381429548767,-1.2690168040791232,0
15,technology_5.txt,technology,1.2462848015426349,1.34027343136682,-1.7672477712876178,1
